,0
1315,2644
1316,2645
1317,2646
1318,2648
1319,2649
1320,2651
1321,2652
1322,2654
1323,2656
1324,2657
1325,2658
1326,2659
1327,2661
1328,2662
1329,2664
1330,2670
1331,2672
1332,2674
1333,2676
1334,2677
1335,2678
1336,2679
1337,2680
1338,2681
1339,2683
1340,2685
1341,2686
1342,2687
1343,2690
1344,2694
1345,2695
1346,2697
1347,2698
1348,2699
1349,2700
1350,2702
1351,2705
1352,2706
1353,2707
1354,2708
1355,2715
1356,2716
1357,2717
1358,2718
1359,2720
1360,2721
1361,2722
1362,2723
1363,2724
1364,2725
1365,2726
1366,2728
1367,2730
1368,2731
1369,2733
1370,2734
1371,2735
1372,2737
1373,2740
1374,2742
1375,2743
1376,2744
1377,2746
1378,2747
1379,2748
1380,2749
1381,2750
1382,2751
1383,2753
1384,2757
1385,2758
1386,2762
1387,2766
1388,2767
1389,2768
1390,2771
1391,2775
1392,2776
1393,2778
1394,2781
1395,2782
1396,2783
1397,2784
1398,2789
1399,2790
1400,2791
1401,2793
1402,2795
1403,2796
1404,2797
1405,2798
1406,2800
1407,2807
1408,2810
1409,2811
1410,2812
1411,2813
1412,2814
1413,2815
1414,2816
1415,2817
1416,2819
1417,2820
1418,2821
1419,2824
1420,2825
1421,2826
1422,2828
1423,2830
1424,2832
1425,2834
1426,2835
1427,2836
1428,2837
1429,2838
1430,2840
1431,2841
1432,2842
1433,2843
1434,2845
1435,2846
1436,2847
1437,2848
1438,2850
1439,2851
1440,2854
1441,2855
1442,2856
1443,2857
1444,2858
1445,2859
1446,2861
1447,2862
1448,2864
1449,2866
1450,2867
1451,2868
1452,2869
1453,2870
1454,2871
1455,2873
1456,2875
1457,2876
1458,2878
1459,2879
1460,2880
1461,2882
1462,2884
1463,2886
1464,2888
1465,2890
1466,2891
1467,2895
1468,2896
1469,2897
1470,2900
1471,2902
1472,2903
1473,2904
1474,2905
1475,2908
1476,2910
1477,2916
1478,2917
1479,2920
1480,2921
1481,2922
1482,2923
1483,2925
1484,2928
1485,2929
1486,2930
1487,2932
1488,2935
1489,2942
1490,2946
1491,2951
1492,2957
1493,2962
1494,2968
1495,2970
1496,2988
1497,2991
1498,2992
1499,2993
1500,2994
1501,2995
1502,2997
1503,2998
1504,2999
1505,3000
1506,3001
1507,3003
1508,3004
1509,3006
1510,3009
1511,3011
1512,3015
1513,3016
1514,3017
1515,3018
1516,3019
1517,3025
1518,3028
1519,3037
1520,3038
1521,3040
1522,3041
1523,3042
1524,3043
1525,3044
1526,3045
1527,3046
1528,3047
1529,3049
1530,3051
1531,3052
1532,3057
1533,3058
1534,3059
1535,3062
1536,3063
1537,3065
1538,3066
1539,3067
1540,3068
1541,3069
1542,3070
1543,3071
1544,3072
1545,3074
1546,3075
1547,3077
1548,3079
1549,3080
1550,3081
1551,3084
1552,3085
1553,3086
1554,3087
1555,3088
1556,3089
1557,3090
1558,3091
1559,3092
1560,3093
1561,3094
1562,3095
1563,3097
1564,3098
1565,3099
1566,3102
1567,3107
1568,3108
1569,3109
1570,3111
1571,3112
1572,3114
1573,3117
1574,3118
1575,3119
1576,3121
1577,3122
1578,3123
1579,3124
1580,3125
1581,3126
1582,3127
1583,3128
1584,3131
1585,3134
1586,3135
1587,3136
1588,3137
1589,3138
1590,3139
1591,3154
1592,3155
1593,3157
1594,3158
1595,3159
1596,3160
1597,3164
1598,3168
1599,3171
1600,3177
1601,3179
1602,3180
1603,3181
1604,3182
1605,3183
1606,3184
1607,3185
1608,3186
1609,3187
1610,3192
1611,3193
1612,3194
1613,3195
1614,3197
1615,3200
1616,3202
1617,3203
1618,3205
1619,3206
1620,3208
1621,3211
1622,3214
1623,3216
1624,3217
1625,3218
1626,3219
1627,3220
1628,3221
1629,3224
1630,3225
1631,3226
1632,3227
1633,3228
1634,3229
1635,3230
1636,3235
1637,3236
1638,3239
1639,3243
1640,3244
1641,3246
1642,3247
1643,3248
1644,3249
1645,3250
1646,3251
1647,3254
1648,3255
1649,3256
1650,3257
1651,3259
1652,3260
1653,3261
1654,3262
1655,3263
1656,3266
1657,3267
1658,3269
1659,3270
1660,3271
1661,3273
1662,3275
1663,3276
1664,3279
1665,3280
1666,3281
1667,3284
1668,3285
1669,3288
1670,3290
1671,3291
1672,3292
1673,3304
1674,3305
1675,3308
1676,3314
1677,3315
1678,3316
1679,3317
1680,3320
1681,3321
1682,3323
1683,3325
1684,3326
1685,3327
1686,3329
1687,3330
1688,3334
1689,3335
1690,3336
1691,3337
1692,3338
1693,3339
1694,3340
1695,3342
1696,3345
1697,3347
1698,3348
1699,3349
1700,3350
1701,3352
1702,3353
1703,3355
1704,3358
1705,3359
1706,3360
1707,3365
1708,3366
1709,3368
1710,3372
1711,3378
1712,3386
1713,3389
1714,3390
1715,3391
1716,3392
1717,3395
1718,3396
1719,3398
1720,3405
1721,3406
1722,3407
1723,3408
1724,3409
1725,3410
1726,3412
1727,3413
1728,3415
1729,3416
1730,3418
1731,3420
1732,3421
1733,3422
1734,3423
1735,3424
1736,3425
1737,3426
1738,3427
1739,3429
1740,3433
1741,3434
1742,3436
1743,3437
1744,3438
1745,3440
1746,3443
1747,3446
1748,3447
1749,3448
1750,3449
1751,3450
1752,3451
1753,3452
1754,3453
1755,3455
1756,3458
1757,3460
1758,3462
1759,3463
1760,3464
1761,3465
1762,3468
1763,3471
1764,3473
1765,3474
1766,3475
1767,3476
1768,3479
1769,3480
1770,3482
1771,3483
1772,3484
1773,3486
1774,3487
1775,3489
1776,3490
1777,3491
1778,3492
1779,3493
1780,3494
1781,3495
1782,3496
1783,3497
1784,3503
1785,3506
1786,3507
1787,3508
1788,3510
1789,3511
1790,3512
1791,3514
1792,3516
1793,3518
1794,3520
1795,3521
1796,3523
1797,3524
1798,3526
1799,3527
1800,3528
1801,3530
1802,3531
1803,3532
1804,3533
1805,3534
1806,3536
1807,3537
1808,3538
1809,3539
1810,3540
1811,3544
1812,3545
1813,3549
1814,3550
1815,3553
1816,3554
1817,3555
1818,3556
1819,3557
1820,3560
1821,3561
1822,3563
1823,3565
1824,3567
1825,3572
1826,3573
1827,3574
1828,3578
1829,3580
1830,3582
1831,3583
1832,3584
1833,3586
1834,3587
1835,3589
1836,3590
1837,3593
1838,3595
1839,3602
1840,3603
1841,3608
1842,3613
1843,3614
1844,3615
1845,3616
1846,3617
1847,3620
1848,3622
1849,3623
1850,3625
1851,3627
1852,3628
1853,3629
1854,3630
1855,3631
1856,3632
1857,3633
1858,3635
1859,3636
1860,3637
1861,3638
1862,3641
1863,3643
1864,3644
1865,3647
1866,3650
1867,3651
1868,3653
1869,3655
1870,3658
1871,3659
1872,3660
1873,3662
1874,3664
1875,3666
1876,3667
1877,3679
1878,3686
1879,3708
1880,3710
1881,3713
1882,3715
1883,3716
1884,3717
1885,3724
1886,3725
1887,3726
1888,3727
1889,3728
1890,3731
1891,3732
1892,3735
1893,3736
1894,3737
1895,3738
1896,3740
1897,3743
1898,3746
1899,3747
1900,3748
1901,3750
1902,3755
1903,3763
1904,3768
1905,3771
1906,3773
1907,3774
1908,3775
1909,3778
1910,3780
1911,3791
1912,3794
1913,3795
1914,3797
1915,3800
1916,3802
1917,3803
1918,3805
1919,3806
1920,3807
1921,3809
1922,3815
1923,3817
1924,3820
1925,3823
1926,3824
1927,3825
1928,3826
1929,3827
1930,3828
1931,3830
1932,3831
1933,3837
1934,3840
1935,3843
1936,3845
1937,3846
1938,3848
1939,3851
1940,3853
1941,3854
1942,3855
1943,3859
1944,3860
1945,3863
1946,3867
1947,3869
1948,3872
1949,3874
1950,3877
1951,3888
1952,3889
1953,3891
1954,3892
1955,3900
1956,3901
1957,3904
1958,3908
1959,3914
1960,3915
1961,3916
1962,3920
1963,3925
1964,3926
1965,3928
1966,3929
1967,3938
1968,3939
1969,3940
1970,3946
1971,3949
1972,3950
1973,3953
1974,3954
1975,3958
1976,3962
1977,3963
1978,3968
1979,3972
1980,3977
1981,3979
1982,3980
1983,3981
1984,3983
1985,3984
1986,3985
1987,3986
1988,3988
1989,3994
1990,3995
1991,3996
1992,3997
1993,3998
1994,3999
1995,4000
1996,4001
1997,4003
1998,4004
1999,4005
2000,4006
2001,4007
2002,4008
2003,4010
2004,4011
2005,4012
2006,4014
2007,4015
2008,4020
2009,4022
2010,4023
2011,4025
2012,4029
2013,4030
2014,4033
2015,4040
2016,4041
2017,4044
2018,4045
2019,4046
2020,4047
2021,4049
2022,4050
2023,4051
2024,4052
2025,4053
2026,4055
2027,4058
2028,4059
2029,4061
2030,4062
2031,4064
2032,4065
2033,4067
2034,4068
2035,4069
2036,4070
2037,4071
2038,4073
2039,4074
2040,4075
2041,4076
2042,4077
2043,4078
2044,4079
2045,4080
2046,4081
2047,4082
2048,4083
2049,4085
2050,4086
2051,4087
2052,4088
2053,4090
2054,4091
2055,4092
2056,4094
2057,4096
2058,4098
2059,4100
2060,4102
2061,4104
2062,4106
2063,4107
2064,4108
2065,4109
2066,4114
2067,4115
2068,4125
2069,4128
2070,4129
2071,4130
2072,4134
2073,4139
2074,4142
2075,4144
2076,4145
2077,4150
2078,4152
2079,4155
2080,4156
2081,4158
2082,4159
2083,4166
2084,4167
2085,4169
2086,4171
2087,4176
2088,4179
2089,4182
2090,4184
2091,4185
2092,4186
2093,4187
2094,4188
2095,4189
2096,4191
2097,4192
2098,4194
2099,4196
2100,4197
2101,4201
2102,4202
2103,4203
2104,4204
2105,4205
2106,4212
2107,4216
2108,4217
2109,4218
2110,4219
2111,4220
2112,4222
2113,4223
2114,4228
2115,4229
2116,4230
2117,4231
2118,4233
2119,4235
2120,4236
2121,4238
2122,4239
2123,4240
2124,4243
2125,4245
2126,4247
2127,4249
2128,4252
2129,4255
2130,4265
2131,4267
2132,4269
2133,4271
2134,4272
2135,4274
2136,4277
2137,4279
2138,4280
2139,4282
2140,4283
2141,4285
2142,4286
2143,4293
2144,4294
2145,4295
2146,4297
2147,4298
2148,4299
2149,4300
